frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
566,0,1,0.009,1.000,-0.0419
567,0,1,0.007,1.000,-0.0389
568,0,1,0.006,1.000,-0.0438
569,0,1,0.004,1.000,-0.0478
570,0,1,0.004,1.000,-0.0467
571,0,1,0.003,1.000,-0.0458
572,0,1,0.002,1.000,-0.0451
573,0,1,0.002,1.000,-0.0404
574,0,1,0.001,1.000,-0.0365
575,0,1,0.001,1.000,-0.0366
576,0,1,0.001,1.000,-0.0367
577,0,1,0.001,1.000,-0.0410
578,0,1,0.001,1.000,-0.0445
579,0,1,0.000,1.000,-0.0409
580,0,1,0.000,1.000,-0.0380
581,0,1,0.000,1.000,-0.0368
582,0,1,0.130,1.000,-0.0506
583,0,1,0.234,1.000,-0.0617
584,0,1,0.317,1.000,-0.0732
585,0,1,0.384,1.000,-0.0824
586,0,1,0.437,1.000,-0.0882
587,0,1,0.480,1.000,-0.0949
588,0,1,0.384,1.000,-0.0844
589,0,1,0.307,1.000,-0.0750
590,0,1,0.246,1.000,-0.0674
591,0,1,0.196,1.000,-0.0613
592,0,1,0.157,1.000,-0.0565
593,0,1,0.126,1.000,-0.0494
594,0,1,0.101,1.000,-0.0406
595,0,1,0.080,1.000,-0.0367
596,0,1,0.064,1.000,-0.0368
597,0,1,0.052,1.000,-0.0369
598,0,1,0.041,1.000,-0.0327
599,0,1,0.033,1.000,-0.0293
600,0,1,0.026,1.000,-0.0277
601,0,1,0.021,1.000,-0.0264
602,0,1,0.147,1.000,-0.0370
603,0,1,0.118,1.000,-0.0360
604,0,1,0.224,1.000,-0.0426
605,0,1,0.309,1.000,-0.0484
606,0,1,0.377,1.000,-0.0530
607,0,1,0.302,1.000,-0.0498
608,0,1,0.242,1.000,-0.0505
609,0,1,0.353,1.000,-0.0600
610,0,1,0.443,1.000,-0.0676
611,0,1,0.484,1.000,-0.0684
612,0,1,0.547,1.000,-0.0727
613,0,1,0.598,1.000,-0.0762
614,1,1,0.638,1.000,-0.0811
615,1,1,0.671,1.000,-0.0850
616,1,1,0.736,1.000,-0.0892
617,1,1,0.789,1.000,-0.0926
618,1,1,0.831,1.000,-0.0958
619,1,1,0.865,1.000,-0.0984
620,1,1,0.892,1.000,-0.1015
621,1,1,0.914,1.000,-0.1013
622,1,1,0.931,1.000,-0.1012
623,1,1,0.945,1.000,-0.1022
624,1,1,0.956,1.000,-0.1040
625,1,1,0.965,1.000,-0.1012
626,1,1,0.972,1.000,-0.0990
627,1,1,0.977,1.000,-0.0977
628,1,1,0.942,1.000,-0.0946
629,1,1,0.944,1.000,-0.0895
630,1,1,0.955,1.000,-0.0885
631,1,1,0.964,1.000,-0.0878
632,1,1,0.961,1.000,-0.0861
633,1,1,0.929,1.000,-0.0843
634,1,1,0.933,1.000,-0.0839
635,1,1,0.946,1.000,-0.0835
636,1,1,0.957,1.000,-0.0832
637,1,1,0.966,1.000,-0.0841
638,1,1,0.973,1.000,-0.0848
639,1,1,0.968,1.000,-0.0858
640,1,1,0.974,1.000,-0.0851
641,1,1,0.980,1.000,-0.0850
642,1,1,0.984,1.000,-0.0850
643,1,1,0.987,1.000,-0.0876
644,1,1,0.990,1.000,-0.0870
645,1,1,0.992,1.000,-0.0855
646,1,1,0.953,1.000,-0.0790
647,1,1,0.923,1.000,-0.0738
648,1,1,0.868,1.000,-0.0718
649,1,1,0.824,1.000,-0.0701
650,1,1,0.850,1.000,-0.0747
651,1,1,0.840,1.000,-0.0714
652,1,1,0.802,1.000,-0.0693
653,1,1,0.831,1.000,-0.0692
654,1,1,0.855,1.000,-0.0692
655,1,1,0.884,1.000,-0.0718
656,1,1,0.897,1.000,-0.0770
657,1,1,0.908,1.000,-0.0780
658,1,1,0.916,1.000,-0.0783
659,1,1,0.933,1.000,-0.0775
660,1,1,0.936,1.000,-0.0864
661,1,1,0.939,1.000,-0.0935
662,1,1,0.951,1.000,-0.0971
663,1,1,0.961,1.000,-0.0988
664,1,1,0.969,1.000,-0.0997
665,1,1,0.975,1.000,-0.1005
666,1,1,0.970,1.000,-0.1005
667,1,1,0.976,1.000,-0.1005
668,1,1,0.971,1.000,-0.0969
669,1,1,0.977,1.000,-0.0976
670,1,1,0.981,1.000,-0.0982
671,1,1,0.985,1.000,-0.0982
672,1,1,0.988,1.000,-0.0982
673,1,1,0.980,1.000,-0.0971
674,1,1,0.944,1.000,-0.0920
675,1,1,0.885,1.000,-0.0874
676,1,1,0.838,1.000,-0.0842
677,1,1,0.801,1.000,-0.0817
678,1,1,0.841,1.000,-0.0844
679,1,1,0.872,1.000,-0.0866
680,1,1,0.858,1.000,-0.0868
681,1,1,0.846,1.000,-0.0874
682,1,1,0.837,1.000,-0.0880
683,1,1,0.860,1.000,-0.0863
684,1,1,0.878,1.000,-0.0849
685,1,1,0.832,1.000,-0.0828
686,1,1,0.796,1.000,-0.0811
687,1,1,0.837,1.000,-0.0797
688,1,1,0.869,1.000,-0.0786
689,1,1,0.855,1.000,-0.0756
690,1,1,0.844,1.000,-0.0753
691,1,1,0.835,1.000,-0.0735
692,1,1,0.828,1.000,-0.0742
693,1,1,0.823,1.000,-0.0747
694,1,1,0.818,1.000,-0.0741
